review,label,language,product_name,product_description
"Mli yellah kherjat, had salat dial lpasta kant 3ziza 3liya bzaf, khososan ila kan 3endi dyaf wella ila kent bagha chi makla barda deghya. Walakin ana ma chrit'hach had lmouda kamla, ktar men 10 snin, 7ta ldaba 3ad chrit'ha. Ma 3arfach wach ana li nsit lmeddaq dialha wella hiya li tebaddlat bzaf, walakin ma bqat'ch bnina b7al li kent kan3qel 3liha men qbel. O kaman, f lowwel mli kent kanakhodha, kant katji m3aha des sachets dial mayonez, o hada kan 7aja zwina bzaf, 7it ana ma kansta3mlch lmayonez bzaf bach ykoun 3endi dima f takhzin. Hadouk les sachets dial lmayonez kanou kaykhaliiw lamr mrayya7 ktar mli kent khassni nwajjad chi 7aja f sa3a.","{""plaintes"": [""Le goût du produit n'est plus aussi bon qu'il l'était auparavant"",""Le produit n'inclut plus les sachets individuels de mayonnaise, qui étaient auparavant très pratiques""],""compliments"": [""Le produit était initialement très apprécié, particulièrement pour les invités ou comme repas froid rapide"",""Les sachets individuels de mayonnaise autrefois inclus rendaient le produit très pratique, évitant ainsi d'avoir de la mayonnaise en stock""]}",latin_darija,Pasta Salad,"A ready-to-eat cold pasta salad, ideal for quick meals or convenient serving to guests. This dish typically includes a pasta base and comes complemented with individual mayonnaise sachets for dressing, designed for ease of preparation."
كاليتي عيانة كتحس بيهم رهاف طيحة وحدة اتهرسو و مكيشدوش فالودن اذا ساهل اطيحو و اتهرسو,"{""plaintes"": [""La qualité est médiocre"", ""Ils sont fragiles (on les sent très fins)"", ""Ils se sont cassés après une seule chute"", ""Ils ne tiennent pas dans l'oreille et tombent facilement""], ""compliments"": []}",arabic_darija,Earbuds,"In-ear audio accessory featuring a lightweight and thin design. These earbuds are engineered for placement within the ear canal, but may exhibit an insecure fit for some users, leading to a tendency to fall out. The construction is noted for its fragility, making the product susceptible to damage from drops or impacts."
"Pas bon, je déteste ça. Plus jamais je n'achèterai ça, ça craint.","{""plaintes"": [""Le produit n'est pas bon"", ""Le client déteste le produit"", ""Le client n'achètera plus jamais ce produit"", ""Le produit est nul""], ""compliments"": []}",french,Not specified,The customer review does not contain specific details about the product to generate a description.
"هادي قهوة باردة قاصحة فقرعة صغيرة. القهوة خفيفة تا لمتوسطة فالحموضة، مذاقها نقي، فيها مرورية متوسطة، قاصحة شوية و غنية شوية. مافيهاش الحليب ولا الكريمة. فيها شوية ديال السكر لي كيعطي المشروب حلاوة متوسطة، مزيانة و فبلاصتها. يلا شربتيها بوحدها، المذاق كيجيك شوية ناشف و قاصح. أنا كنفضل القهوة الباردة تكون فيها شي حاجة ديال الحليب باش كتجي مدورة و عندها قوام. قهوة بهاد القوة بوحدها كتخلي المذاق ناشف بزاف و خاصها الغنى.

من غير هادشي، زدت عليها كرة صغيرة ديال كلاص بالفاني و جات بنينة بزاف. كاع داكشي لي كان خاصها تكمل ليا. أغلب القهاوي الباردة لي كيتباعو فلقراعي مع الكريمة كيكونو حلوين بزاف. هادي لا. خاصها غير شوية ديال الدوران لي كيجيبو الكلاص (خليط ديال الحليب و الكريمة قد قد يعطي نفس المفعول).

فالمجموع، هو مشروب مزيان. ولكن، فقرعة، يلا ما عندكش الحليب ولا الكريمة، هاد المشروب يقدر يكون قاصح و ناشف بزاف باش يعجب بزاف ديال الناس.","{""plaintes"": [""Bu pur, le goût est un peu trop maigre et austère."",""Manque de produit laitier pour la rondeur et le corps."",""Laisse un goût trop sec et manque de richesse bu pur."",""En canette, si vous n'avez pas accès à du lait ou de la crème, la boisson pourrait être un peu trop forte et trop sèche pour plaire à un large public.""],""compliments"": [""C'est une boisson de café glacé forte."",""Le café est léger à modéré en acidité."",""Le goût est net."",""Le niveau d'amertume est moyen."",""Le café est assez riche."",""La douceur est modérée, bonne et appropriée (grâce à un peu de sucre)."",""Elle n'est pas trop sucrée, contrairement à la plupart des boissons de café glacé en bouteille avec de la crème."",""C'est une boisson correcte dans l'ensemble.""]}",arabic_darija,Ready-to-Drink Cold Coffee,"A ready-to-drink cold coffee, packaged in a small bottle. This beverage features a pure taste with light to medium acidity and medium bitterness. It is characterized by a strong and rich flavor profile. It contains a moderate amount of sugar, providing a medium sweetness. This cold coffee is made without milk or cream, offering a dairy-free option."
كلشي طبيعي، مافيهش ملونات اصطناعية، ولا مكونات غريبة... ولكن مافيه تا بنة. لاصوص ديالو جارية وخفيفة والمذاق ديالها ناقص بزاف. يلا كنتي مزروب وخاصك شي عشا واجد، فمن الأحسن تستعمل منتوج فيه مكونات طبيعية. ولكن يلا بغيتي شي ماك آند تشيز بنين، صايبو فالدار حسن.,"{""plaintes"": [""Le produit manque totalement de saveur."",""La sauce est liquide et légère."",""Le goût de la sauce est très insuffisant."",""Il est préférable de préparer soi-même un mac and cheese savoureux, sous-entendant que le produit ne l'est pas.""],""compliments"": [""Tous les ingrédients sont naturels."",""Ne contient pas de colorants artificiels."",""Ne contient pas d'ingrédients étranges.""]}",arabic_darija,Mac & Cheese,"A convenient, ready-to-eat Mac & Cheese meal made with natural ingredients. This product is free from artificial colorings and unusual additives. It features a light and watery sauce."
Produit ghzal. Led dyalha kat tktak bash tbayyen transfert dyal les données f llecture w lécriture... Top! U llook dyalo ghzal.,"{""plaintes"": [], ""compliments"": [""Le produit est excellent"", ""La LED qui clignote pour indiquer le transfert de données en lecture et écriture est très appréciée"", ""L'apparence est magnifique""]}",latin_darija,Data Transfer Device,"Designed for efficient data transfer, this device supports both read and write operations. It features an integrated LED indicator that blinks to provide visual confirmation of active data transfer status. The product is characterized by its aesthetically pleasing and modern design."
"Ils sont super et le son est au top. Les jeux, je n'ai pas encore testé.","{""plaintes"": [], ""compliments"": [""Le produit est excellent"", ""Le son est de bonne qualité""]}",french,Gaming Headphones,"This product delivers superior and excellent sound quality, ensuring a high-fidelity audio experience. It is designed to be well-suited for gaming, providing immersive sound performance for an enhanced gaming experience across various media."
"J'adore les biscuits sans gluten au citron de Nana. C'est pourquoi j'ai décidé d'essayer aussi ces barres à la framboise et à la vanille. Leur texture est moelleuse et agréable, mais leur goût ne m'a pas beaucoup plu. Je ressens quelque chose d'étrange avec l'arôme de framboise dans une barre qui ne contient pas de vraies framboises, juste quelques petits morceaux séchés qui croquent ici et là. Je pense que la prochaine fois, j'essaierai les barres au chocolat.","{""plaintes"": [""Le goût général n'est pas très apprécié"",""La saveur de baies est jugée étrange et artificielle"",""Manque de vraies baies, remplacées par de petits morceaux caramélisés croquants""],""compliments"": [""La texture est douce et agréable""]}",french,Nana Raspberry Vanilla Bars,"A chewy bar from Nana, featuring a delightful blend of raspberry and vanilla flavors. This product contains small dried fruit pieces for an enjoyable texture."
"Konna f ddar, w kanat kattṣebb barra, wakha l'coli kan kaydkhoul f ssndouq dyal lbarid, trma f ljnan, bla ayy iḥtiram l zzboun.","{""plaintes"": [""Le colis a été jeté dans le jardin sous la pluie, alors qu'il pouvait entrer dans la boîte aux lettres"", ""Manque de respect envers le client""], ""compliments"": []}",latin_darija,Parcel,"A package designed for the secure transportation of goods to a customer's designated delivery location. It is typically intended for various delivery methods, including placement in a mailbox or direct home delivery."
"Khasna n'atiw l-haqq l-Walden Farms hit saybou sauce ma fihaash l-karbohidrat. Khasara l-madaq dyalha machi zwin bzaf. Wakha hakak, marra marra kanchriha w kan khalatha m'a des sauces khrin bnane kter bach nqess men nisbat l-karbohidrat kamla. Walakin, l-madaq dyal d-dokhan fiha mjehd bzaf l-daraja anno yalla derti kter men nisbat wahed 'la reb'a, ma kaybqa yban lik f fommek ghir l-madaq dyal had l-mentouj. Had s-sauce makatqarnch ga'a m'a l-madaq dyal sauce l-barbecue qlilat l-karbohidrat dyal Kraft li ma baqatsh daba. Ghaliban, kansayeb s-sauce dyali qlilat l-karbohidrat f d-dar men z-zéro, w kanzid ghir shwiya men hadi bach ta'atini dak l-madaq dyal d-dokhan, walakin yalla ktreti minha, katkhsser lik wakha tkoun ahssan sauce msaybha f d-dar. Walakin, yalla kounti mttebe' chi régime qasseh bzaf dyal nqess l-karbohidrat (bhal dyal d-doctor Bernstein), fa hada yimken houwa l-mentouj l-wahid li ghadi ysslah lik.","{""plaintes"": [""Le goût général de la sauce est décevant."",""Le goût fumé est excessivement prononcé."",""Si l'on en utilise trop (plus d'un quart de la portion), le goût de la sauce devient prédominant et masque toutes les autres saveurs."",""La sauce n'est pas comparable, en termes de goût, à l'ancienne sauce barbecue faible en glucides de Kraft."",""Utiliser une quantité excessive de cette sauce peut gâcher même les meilleures sauces faites maison.""],""compliments"": [""La marque Walden Farms est à féliciter pour avoir développé une sauce sans glucides."",""C'est potentiellement le seul produit adapté aux régimes très stricts à faible teneur en glucides (comme celui du Dr. Bernstein).""]}",latin_darija,Walden Farms Zero-Carb Smoky BBQ Sauce,"Walden Farms Zero-Carb Smoky BBQ Sauce is a specialized condiment formulated for individuals adhering to strict low-carbohydrate diets. This sauce contains no carbohydrates, making it an ideal choice for carb-restricted eating plans. It is characterized by a very strong and prominent smoky flavor. Due to its intense taste, it is often recommended for sparing use, either as a flavor enhancer for homemade low-carb sauces or mixed with other condiments to reduce overall carbohydrate content while imparting a smoky note. Overuse may result in the strong smoky profile dominating other flavors. This product is particularly suitable for highly restrictive low-carb regimens, such as the Dr. Bernstein diet."
أنا كنحماق على البسكوي ديال نانا بالليمون لي بلا ݣلوتين، داكشي علاش ݣلت نجرب هاد لي بار ديال التوت و الڤانيلا حتى هوما. لاتيكستور ديالهم رطبة و زوينة، ولكن الݣو ديالهم ما عجبنيش بزاف. كنحس بشي حاجة غريبة مع النكهة ديال التوت فواحد البسكوي لي ما فيهش توت بصّح، غير شي تويشيات كارمين و تايتقرمشو هنا و هنا فالبسكوي. كنظن مرة جاية نجرب لي بار ديال الشكلاط.,"{""plaintes"": [""Le goût général n'est pas très apprécié"",""La saveur de baies est jugée étrange et artificielle"",""Manque de vraies baies, remplacées par de petits morceaux caramélisés croquants""],""compliments"": [""La texture est douce et agréable""]}",arabic_darija,Nana Raspberry Vanilla Bars,"A chewy bar from Nana, featuring a delightful blend of raspberry and vanilla flavors. This product contains small dried fruit pieces for an enjoyable texture."
"3andakom tqollbo had l-makina, la 3alaqa. Ma kat7ssen walu, gha tqollbt fih.","{""plaintes"": [""La machine est de mauvaise qualité"", ""Elle ne fonctionne pas du tout""], ""compliments"": []}",latin_darija,Electric Shaver,"An electric personal grooming device designed for hair removal, typically featuring a motor-driven cutting mechanism. It is intended for convenient and efficient shaving of facial or body hair."
شريتو لولدي على قبل المود ديال الدراري الصغار ولكن صدق عيان بزاف.,"{""plaintes"": [""Très mauvaise qualité""], ""compliments"": []}",arabic_darija,Kids' Tablet,"A tablet specifically designed for children, featuring a dedicated 'Kids' Mode' with comprehensive parental controls. This mode offers a curated, age-appropriate content environment, restricted access to apps and websites, and screen time management functionalities. The device typically includes a durable, child-friendly design and a simplified user interface, often pre-loaded with educational games and applications. It is intended for entertainment and learning for young users."
Jolie chaise. Cependant le fait que les boutons soient pointus m'embête un peu.,"{""plaintes"": [""Les boutons de la chaise sont pointus, ce qui dérange le client.""],""compliments"": [""La chaise est jolie.""]}",french,Chaise,"An upholstered or accent chair featuring decorative buttons as a design element. These buttons may have a distinct, pointed shape."
تشرّى لواحد مسن، يلاه دار أوبيراسيون ف رجلو و خاصو يبقى غير ف الفراش. ناقصو العلو ف الظهر باش يكون مستعمل و مريح. خسارة...,"{""plaintes"": [""Manque de hauteur au niveau du dossier pour être utilisable et confortable""], ""compliments"": []}",arabic_darija,Bed Backrest Pillow,"An ergonomic bed backrest pillow designed to provide comfortable and stable support for individuals requiring extended bed rest. This pillow elevates the upper body, making activities like reading, eating, or watching TV more comfortable. It is ideal for elderly users, individuals recovering from surgery, or anyone needing specific back support and a reclined position while in bed. The design focuses on offering optimal height and angle for user comfort and usability."
"Certains pourraient avancer que, tout comme il n'existe pas de mauvaise expérience sexuelle, il n'existe pas de mauvais chocolat. (Même le pire de ce dernier que j'aie jamais consommé – à Léningrad, en Russie, en 1984 – était encore comestible. Mon histoire avec le premier, nous n'avons pas besoin d'en discuter.)

Nous voici donc avec le chocolat noir bio NEWMAN'S OWN ORGANICS (NOODC). Attention, il ne contient pas d'embellissements aussi prétentieux que des amandes, des noix de macadamia, des cerises, de la grenade, des éclats de menthe, des copeaux de bacon, du riz soufflé, de l'écorce d'orange, de la garniture au caramel, du beurre de cacahuète, des raisins secs, des morceaux de noix, du croquant au caramel, de la noix de coco, du poivron rouge, des grains de café, des canneberges, des myrtilles, des morceaux de chocolat blanc, ou le tout-venant. C'est juste 100% chocolat, c'est-à-dire du jus de canne évaporé, de la pâte de cacao, du beurre de cacao, de la lécithine de soja et de la vanille – le tout bio, bien sûr. (Il faut cependant souligner que la vanille est utilisée par les chocolatiers pour masquer le goût des fèves de cacao imparfaitement torréfiées. Hum.)

Avec 54% de cacao, le NOODC n'est pas particulièrement élevé sur cette échelle. Qui, dans une entreprise chocolatière, détermine le quoi et le pourquoi d'une concentration optimale, je me le demande ? Probablement les comptables (de fèves de cacao), j'imagine.

Parce que je souffre d'un trouble du goût décrit plus en détail dans ma critique du livre <a href=""http://www.amazon.com/gp/product/0618861882"">Remembering Smell: A Memoir of Losing--and Discovering--the Primal Sense</a>, je ne peux pas juger de la douceur de cette confiserie, mais seulement de la saveur du chocolat et de la « sensation en bouche ». Les deux sont plutôt moyens et acceptables. Est-ce mieux qu'une de mes marques préférées, une tablette <a href=""http://www.amazon.com/gp/product/B004CH40HQ"">Cadbury Royal Dark Chocolate Bar, 3.5 oz, 24 count</a> ? Euh... non. Mais c'est infiniment mieux que ce chocolat communiste consommé à l'époque nostalgique de la Guerre Froide ! Je veux dire, sans aucun des ornements supplémentaires mentionnés ci-dessus, une simple tablette de chocolat doit faire des heures supplémentaires pour se démarquer du reste de ce genre sur l'étagère.

En fait, j'étais plus intéressé par les subtilités de l'étiquette. Paul lui-même est photographié avec Nell, sa fille de Joanne Woodward. Nell a fondé la division Bio de Newman's Own en 1993, et en est restée à la tête lorsqu'elle a fait scission en 2001. Papa a tout de même apporté son soutien, avant de décéder. Je suppose que c'est le leadership et la participation de Nell qui sont sous-entendus dans le sous-titre de la confiserie, « La Deuxième Génération ».

Encore une fois, selon l'étiquetage, le cacao a été certifié par la « Rainforest Alliance ». Peut-être suis-je cynique, mais cela me fait me demander combien l'entreprise de Nell verse à cette organisation pour l'octroi de sa certification, aussi légitime que puisse être cette bénédiction rituelle. De même, il y a la mention « Certifié Biologique par Oregon Tilth » – quoi qu'un « Tilth » puisse bien être.

De plus, il y a la clause de non-responsabilité habituelle pour se couvrir : « Fabriqué sur des équipements pouvant transformer des produits contenant des arachides, d'autres fruits à coque, du lait en poudre, du blé, du soja et des œufs. » Outre les dangers potentiels pour les personnes allergiques, comment ces contaminants possibles pourraient-ils affecter la qualité biologique du NOODC s'ils ne sont pas eux-mêmes biologiques ? Les esprits curieux veulent savoir. (Peut-être l'autocollant « USDA Organic » a-t-il des implications ici. Je dormirai certainement mieux la nuit en sachant que le gouvernement est impliqué.)

Et le fait qu'une portion d'une tablette ne contienne que 5 mg de sodium signifie que ma femme pourrait dévorer le tout – moins la seule bouchée qu'on m'a jetée – sans craindre d'augmenter sa tension artérielle déjà limite-élevée. Après tout, le chocolat noir est réputé être un aliment santé.

Achèterais-je du NOODC au supermarché local sans qu'il soit à un prix promotionnel, un prix club ? Probablement pas. Je n'ai jamais été convaincu que le « bio » n'était pas principalement un stratagème marketing pour faire grimper le prix, et le NOODC à plein tarif ne procure pas plus de satisfaction qu'une tablette moins chère chargée d'impuretés, de toxines et de substances cancérigènes assorties. Et les deux se boivent aussi bien avec un verre de lait froid et écrémé.","{""plaintes"": [""La vanille est utilisée pour masquer le goût de fèves de cacao imparfaitement torréfiées."",""Le pourcentage de cacao (54%) n'est pas jugé particulièrement élevé."",""La saveur et la sensation en bouche sont plutôt moyennes et acceptables, mais pas exceptionnelles."",""La qualité du produit n'est pas supérieure à celle des marques préférées du client."",""Doute sur la préservation de la qualité biologique en cas de contamination croisée avec des allergènes non biologiques lors de la fabrication."",""Le client n'achèterait probablement pas le produit à son prix habituel sans promotion."",""La certification 'bio' est perçue comme un stratagème marketing pour augmenter le prix."",""Le produit n'offre pas plus de satisfaction que des tablettes de chocolat moins chères.""],""compliments"": [""Le produit est certifié biologique."",""Il est composé de 100% de chocolat, sans embellissements ou additifs 'prétentieux'."",""Sa qualité est infiniment meilleure que certains chocolats de très basse qualité consommés par le passé."",""Faible teneur en sodium (5 mg par portion), ce qui est considéré comme un aspect santé positif.""]}",french,Newman's Own Organics Dark Chocolate (NOODC),"This organic dark chocolate bar from Newman's Own Organics contains 54% cacao. Its ingredients include evaporated cane juice, cocoa mass, cocoa butter, soy lecithin, and vanilla, all certified organic. The product offers a pure chocolate experience, free from additional embellishments like nuts, fruits, or caramel. It is certified organic by Oregon Tilth and the cacao is certified by the Rainforest Alliance. Each serving contains 5 mg of sodium. Manufactured on equipment that may also process peanuts, other tree nuts, milk powder, wheat, soy, and eggs."
"C'est un bon produit, malheureusement je ne pourrai m'en servir car elle ne convient pas avec la housse étui coque de protection... dommage..","{""plaintes"": [""Le produit est incompatible avec la housse, l'étui ou la coque de protection."", ""Le client ne peut pas se servir du produit à cause de cette incompatibilité.""], ""compliments"": [""Le produit est bon.""]}",french,Coque de Protection,"A protective accessory designed to safeguard a specific electronic device. This item typically functions as a cover or shell, offering defense against scratches, impacts, and daily wear and tear. It is crafted to precisely fit the contours of a compatible device, ensuring full access to all ports, buttons, and camera functions, while providing an additional layer of durability and aesthetic appeal."
المادة ماشي كاع زوينة، و تقريبا كتلصق شوية... الروس ديال الستيلوات ماشي رطاب بزاف، واخا الما، ما كيعاونوش باش تشوف الرّسم. من بعد هادشي، ما كتاخدش بلاصة بزاف و كاينين شي شكيلات كإكسيسوارات مرفقين.,"{""plaintes"": [""La matière du produit n'est pas agréable et est limite adhérente."",""Les pointes des stylos sont peu souples et ne facilitent pas la visualisation du dessin, même avec de l'eau.""],""compliments"": [""Le produit est peu encombrant."",""Des formes sont fournies en accessoires.""]}",arabic_darija,Watercolor Pen Set,"This compact drawing and painting set features pens with tips specifically designed for artistic applications, including watercolor effects and blending with water. The kit also includes various shapes as accessories to enhance creative projects. Its design emphasizes space-saving storage and easy portability."
"Produit makhdom mezian w bla dfou. Lampa kat3ti daw mejhed chwiya w machi bared bzaf. L'partie li katdawar mdagga bzaf w qṣira, ma nقدروش ndiw lampa kamla l'te7t. W ila dwertiha ḥta l'lekher, katla3 bouḥdha. Walakin, m3a l'jaloda w t'taman, kaybqqa produit mzian w ma fihch l'ghalat.","{""plaintes"": [""La partie orientable est trop rigide"",""La partie orientable est trop courte"",""On ne peut pas diriger la lampe complètement vers le bas"",""En l'orientant en bout de course, elle remonte toute seule""],""compliments"": [""Le produit est bien fini"",""Le produit est sans défaut"",""La lampe donne une lumière assez forte"",""La lumière n'est pas trop froide"",""C'est un produit correct vu la qualité et le prix"",""C'est un produit sans mauvaise surprise""]}",latin_darija,Adjustable Desk Lamp,"An adjustable lamp providing bright illumination with a moderately warm color temperature. Constructed from quality materials, it features a rotating head for directing light. The rotating mechanism may exhibit a stiff movement and a limited downward adjustment range, with a tendency to spring back when fully rotated."
